y_true,y_pred,y_proba
0,0,0.13381329
1,1,0.7312708
0,0,0.022666268
0,1,0.8226554
0,0,0.057100244
0,0,0.036267243
0,0,0.0369673
1,0,0.13865326
1,1,0.69872606
0,0,0.18291005
0,0,0.35180753
1,0,0.41627428
0,0,0.07730791
1,1,0.8184286
0,0,0.30345264
0,1,0.5675606
0,0,0.24166787
0,0,0.3291464
1,0,0.1202856
0,0,0.32120532
0,0,0.42204088
1,0,0.1929207
0,0,0.47489113
0,0,0.042043716
0,0,0.0034550962
0,0,0.001251085
0,0,0.0704414
1,1,0.8256843
0,0,0.015871467
0,0,0.048271526
0,0,0.10490325
0,0,0.06416289
0,0,0.42236555
0,1,0.50347954
0,0,0.13514224
0,0,0.08900828
0,0,0.13497683
1,1,0.7724054
0,0,0.060298752
0,0,0.16507497
0,0,0.17413363
0,0,0.0657634
1,0,0.1963308
0,0,0.021594392
1,1,0.51042366
0,0,0.16366531
1,1,0.5914854
1,0,0.2999716
0,0,0.36119395
0,0,0.16581191
0,0,0.24028142
0,0,0.03596147
0,0,0.18455756
0,0,0.30869362
0,0,0.06934903
0,0,0.061810553
0,0,0.11499443
0,0,0.13585648
0,0,0.31411082
0,0,0.34173876
0,0,0.48039678
0,0,0.09064145
0,0,0.007677258
1,0,0.17743078
0,0,0.13864532
0,0,0.13300215
0,0,0.22551869
0,0,0.1821019
0,0,0.191751
0,1,0.8072118
0,0,0.039605904
0,0,0.026150933
0,0,0.08083497
1,1,0.5137161
1,0,0.17245352
0,0,0.024421448
0,0,0.1240004
0,0,0.19398367
1,1,0.8954052
1,0,0.229904
1,0,0.34173876
0,0,0.19144984
0,0,0.017728318
1,0,0.10240832
1,1,0.7708672
1,1,0.61746967
1,0,0.27335173
0,0,0.03276523
0,1,0.6999371
0,0,0.04948741
0,0,0.33519766
1,1,0.5409295
0,0,0.025983665
1,1,0.7477638
0,0,0.005618616
0,0,0.14334959
1,1,0.7297221
0,0,0.014206049
1,1,0.7273857
1,0,0.13522844
1,1,0.6635142
0,0,0.0739985
0,0,0.12941211
0,0,0.16625242
0,0,0.23782977
0,0,0.14607085
0,0,0.20105135
0,0,0.090960726
1,0,0.021561518
0,0,0.016150562
0,0,0.04520538
0,0,0.028104242
0,0,0.03848407
0,0,0.14351752
0,0,0.0856049
1,0,0.016942602
0,0,0.07871414
0,0,0.06572051
0,0,0.012727513
0,0,0.10614877
0,1,0.90552354
0,0,0.040487587
0,0,0.0807297
0,0,0.31257153
0,0,0.31500655
0,0,0.28549197
1,0,0.07034653
1,1,0.69507784
0,0,0.016796008
0,0,0.10805985
0,0,0.033412192
0,0,0.098226994
0,1,0.83871543
0,0,0.30427212
0,0,0.07136347
0,0,0.44763803
0,0,0.42543387
0,0,0.0851051
0,0,0.014221624
0,0,0.22063363
0,0,0.014969598
0,0,0.0060573583
0,0,0.107385516
0,0,0.0037616112
0,0,0.15475498
1,0,0.47335544
0,0,0.008663412
0,0,0.19057094
0,0,0.09598283
0,0,0.044889223
0,0,0.18425797
0,0,0.21366815
0,0,0.035607804
0,0,0.12589417
1,0,0.078686655
0,0,0.48679718
1,1,0.7495996
1,1,0.79018533
0,0,0.44125617
0,0,0.07045514
0,0,0.023545887
1,0,0.14145479
0,0,0.2755722
0,0,0.1643916
0,0,0.102514505
0,0,0.124686435
0,0,0.0791229
1,1,0.89632297
0,1,0.5881764
0,0,0.03671407
0,0,0.1169669
0,0,0.10286372
1,1,0.81140137
0,0,0.047555465
1,1,0.7176762
0,0,0.21567379
1,0,0.38519567
0,0,0.023721226
0,0,0.12658522
1,0,0.102952495
0,1,0.7285273
1,0,0.09706162
0,0,0.028864482
0,1,0.7062136
0,0,0.47052068
0,0,0.14247887
0,0,0.115760505
0,0,0.01683619
0,0,0.04714128
0,0,0.11666621
1,1,0.9530292
0,0,0.1706327
0,0,0.4394755
0,0,0.16459405
0,0,0.07095
0,0,0.018019896
0,0,0.15565017
0,0,0.009262349
0,0,0.047975298
0,0,0.078981295
0,0,0.2539325
1,0,0.11538277
0,0,0.2856909
0,0,0.43112883
0,0,0.11847846
0,0,0.01103294
0,0,0.16116169
0,0,0.11694117
0,0,0.124403775
1,1,0.6023397
