y_true,y_pred,y_proba
0,0,0.16356113769040626
1,0,0.23330044104411315
0,0,0.07854694367159427
0,0,0.29864510153953794
0,0,0.23597626119726445
0,0,0.10934058005933628
0,0,0.10327269056809767
1,0,0.24171296422451968
1,0,0.4809151158940824
0,0,0.2521700753704338
0,0,0.05363719896316475
1,0,0.26394689932188836
0,0,0.24183824772581997
1,1,0.6592882697089761
0,0,0.4798992273374647
0,1,0.5161651113234095
0,0,0.2935815084611069
0,0,0.2290413774602466
1,0,0.24774907591735065
0,0,0.08970926652662135
0,0,0.38415573845946277
1,0,0.287635140711896
0,0,0.32585771105516004
0,0,0.21909485775017148
0,0,0.01953780260577561
0,0,0.011288854488427211
0,0,0.14380253443311738
1,1,0.6481139168425246
0,0,0.197466065673752
0,0,0.19009058876172502
0,0,0.20140267967756667
0,0,0.21709479763085177
0,1,0.5950879427915561
0,0,0.4176645122111902
0,0,0.10264552341681245
0,0,0.19275807321893823
0,0,0.17281924804199772
1,0,0.3201812049530693
0,0,0.26190362226733727
0,0,0.08767908047839637
0,0,0.33905075314974054
0,0,0.07180556601720532
1,0,0.44990566751465677
0,0,0.058392751143942004
1,0,0.4768894052378589
0,0,0.10426794899905391
1,0,0.44026656255289703
1,0,0.2541299506220449
0,0,0.15476143153227087
0,0,0.04278586387801094
0,0,0.3151740879555293
0,0,0.13194393769643484
0,0,0.2152467889601204
0,0,0.12926042100411664
0,0,0.15432290813561447
0,0,0.034908398948786216
0,0,0.061839027421882416
0,0,0.25222604096741497
0,0,0.2675924491688696
0,0,0.05132553747494155
0,0,0.20707024169647176
0,0,0.24252428963370376
0,0,0.14909126537791528
1,0,0.11888415662856229
0,0,0.29630452170433214
0,0,0.08989158875038544
0,0,0.11809169072805137
0,0,0.14010407206367914
0,0,0.09957571607497515
0,1,0.5588092652929936
0,0,0.28693566598589015
0,0,0.12585356679830442
0,0,0.23225339548700186
1,0,0.3105028427362545
1,0,0.3607836102437086
0,0,0.19420148243142563
0,0,0.18038423698215236
0,0,0.12637314300285257
1,1,0.72358241861669
1,0,0.47305272506247026
1,0,0.05132553747494155
0,0,0.23240249240585192
0,0,0.17017566330229292
1,0,0.21142345624089737
1,1,0.8070969058884737
1,1,0.5865504387729483
1,0,0.07497855858358655
0,0,0.25498331123083434
0,0,0.47975448778589336
0,0,0.19645389931395202
0,0,0.18484776635402522
1,0,0.18307278114347206
0,0,0.1430910698205558
1,1,0.554121559210778
0,0,0.13626192232112472
0,0,0.20807392561151083
1,1,0.5938531635616978
0,0,0.0649329064779088
1,1,0.5537700101941262
1,0,0.11956854800910624
1,0,0.39207679837070625
0,0,0.14070261175619353
0,0,0.20585118657716056
0,0,0.25527725449807415
0,0,0.2435637774230008
0,0,0.10768945567932756
0,0,0.21355262501106387
0,0,0.19463447853975732
1,0,0.1907136216221171
0,0,0.17667869248109302
0,0,0.18953591268788209
0,0,0.08301593333011398
0,0,0.1506912361820004
