limite_credito,sexo,escolaridade,casamento,idade,atraso_0,atraso_2,atraso_3,atraso_4,atraso_5,atraso_6,fatura_mes1,fatura_mes2,fatura_mes3,fatura_mes4,fatura_mes5,fatura_mes6,pagto_mes1,pagto_mes2,pagto_mes3,pagto_mes4,pagto_mes5,pagto_mes6,proporcao_pago_1,proporcao_pago_2,proporcao_pago_3,proporcao_pago_4,proporcao_pago_5,proporcao_pago_6,inadimplente_real,inadimplente_pred,inadimplente_proba
230000.0,Masculino,Universidade,Solteiro,30,0,0,0,0,0,0,101832.0,92396.0,84297.0,49681.0,46224.0,44800.0,5000.0,4000.0,2029.0,2000.0,2500.0,1300.0,0.0490999970540001,0.0432914488565646,0.0240693729388597,0.0402560283402439,0.0540832882639264,0.0290172094372893,0,0,0.08340549174340736
80000.0,Feminino,Pós-graduação,Casado,32,-1,3,2,-1,0,0,4927.0,4693.0,3342.0,4844.0,3728.0,2612.0,0.0,0.0,4844.0,0.0,0.0,0.0,0.0,0.0,1.44899790607239,0.0,0.0,0.0,1,0,0.496731452047795
100000.0,Feminino,Pós-graduação,Solteiro,29,0,0,0,0,0,0,167410.0,85536.0,77303.0,60178.0,56436.0,51773.0,70001.0,3769.0,2008.0,1950.0,2001.0,18000.0,0.4181385930434679,0.0440628032313501,0.0259753699679188,0.0324033300653051,0.0354554636142955,0.3476648510835554,0,0,0.09732905256895796
10000.0,Feminino,Universidade,Casado,37,-1,4,3,2,2,2,3305.0,2870.0,2440.0,2510.0,2641.0,2222.0,0.0,0.0,500.0,400.0,0.0,36.0,0.0,0.0,0.2048340843916427,0.1592990840302668,0.0,0.0161943319838056,0,1,0.5743825759338185
110000.0,Feminino,Universidade,Casado,34,0,0,0,0,0,0,24147.0,25750.0,27012.0,27762.0,32126.0,37779.0,2000.0,2000.0,1500.0,5000.0,6400.0,0.0,0.0828225940036442,0.0776668867228457,0.0555288194572983,0.1800958109714368,0.1992093877423973,0.0,0,0,0.08261240079926156
130000.0,Feminino,Ensino médio,Solteiro,23,-1,0,0,0,0,0,5719.0,15578.0,19887.0,11659.0,11735.0,8541.0,10000.0,5000.0,2000.0,2000.0,2000.0,1000.0,1.7482517482517483,0.3209448616727646,0.1005631536604988,0.1715265866209262,0.1704158145875937,0.1170686022008897,0,0,0.08511759224189518
250000.0,Feminino,Pós-graduação,Solteiro,37,-1,-1,-1,-1,-1,-1,1291.0,1391.0,3498.0,8963.0,0.0,14660.0,1391.0,3498.0,8963.0,0.0,14660.0,62832.0,1.076625386996904,2.5129310344827585,2.561589025435839,0.0,14660.0,4.285655821567424,0,0,0.12321665163307374
20000.0,Masculino,Universidade,Solteiro,49,0,0,0,0,-1,-1,18260.0,19080.0,18871.0,17700.0,390.0,1320.0,1621.0,1292.0,1166.0,390.0,1320.0,0.0,0.0887684135589507,0.0677113358838635,0.0617846545146248,0.0220326535223998,3.3759590792838874,0.0,1,0,0.1927065664581512
50000.0,Feminino,Universidade,Casado,39,1,2,2,2,2,2,16983.0,16413.0,21128.0,20492.0,30079.0,29460.0,0.0,5000.0,0.0,10000.0,0.0,10000.0,0.0,0.304618009016693,0.0,0.4879715024642561,0.0,0.3394317911815621,1,1,0.6057089458103743
80000.0,Masculino,Pós-graduação,Casado,33,0,0,0,0,0,0,75593.0,71643.0,49481.0,38427.0,34683.0,159.0,2503.0,1508.0,1500.0,1600.0,279.0,0.0,0.0331110934730269,0.0210485176707051,0.0303140535952467,0.0416363068595815,0.0080440548956291,0.0,0,0,0.16892464375508615
